,n@5,n@10,n@20,p@5,p@10,p@20,mrr,map,name,p_method,p_ratio,measure,r_sum,n_docs,gini,time
134,0.4661,0.4598,0.4503,0.5797,0.5547,0.5162,0.733,0.2609,infinite_renyi_0.7,infinite_renyi,0.7,gm_1.5,274536.081119,201641432,0.996768515742,1718.31933904
135,0.4661,0.4598,0.4503,0.5797,0.5547,0.5162,0.733,0.2609,infinite_renyi_0.7,infinite_renyi,0.7,gm_2.0,123390.650254,201641432,0.998098006248,1718.31933904
136,0.4607,0.4523,0.4443,0.573,0.5466,0.5111,0.7031,0.2435,infinite_renyi_0.8,infinite_renyi,0.8,cm_10,1748744.0,201641432,0.998141446612,1476.07140684
137,0.4607,0.4523,0.4443,0.573,0.5466,0.5111,0.7031,0.2435,infinite_renyi_0.8,infinite_renyi,0.8,cm_20,3691427.0,201641432,0.996886499365,1476.07140684
138,0.4607,0.4523,0.4443,0.573,0.5466,0.5111,0.7031,0.2435,infinite_renyi_0.8,infinite_renyi,0.8,cm_50,9517711.0,201641432,0.99458625042,1476.07140684
139,0.4607,0.4523,0.4443,0.573,0.5466,0.5111,0.7031,0.2435,infinite_renyi_0.8,infinite_renyi,0.8,cm_100,19223461.0,201641432,0.992488481484,1476.07140684
140,0.4607,0.4523,0.4443,0.573,0.5466,0.5111,0.7031,0.2435,infinite_renyi_0.8,infinite_renyi,0.8,gm_0.5,3416100.12017,201641432,0.993371646658,1476.07140684
141,0.4607,0.4523,0.4443,0.573,0.5466,0.5111,0.7031,0.2435,infinite_renyi_0.8,infinite_renyi,0.8,gm_1.0,813410.169479,201641432,0.995043436689,1476.07140684
142,0.4607,0.4523,0.4443,0.573,0.5466,0.5111,0.7031,0.2435,infinite_renyi_0.8,infinite_renyi,0.8,gm_1.5,274503.126428,201641432,0.996889908649,1476.07140684
143,0.4607,0.4523,0.4443,0.573,0.5466,0.5111,0.7031,0.2435,infinite_renyi_0.8,infinite_renyi,0.8,gm_2.0,123381.353174,201641432,0.99814586292,1476.07140684
144,0.4448,0.4379,0.4258,0.5568,0.5284,0.4919,0.7143,0.2058,infinite_renyi_0.9,infinite_renyi,0.9,cm_10,1748309.0,201641432,0.99823250635,1086.82304096
145,0.4448,0.4379,0.4258,0.5568,0.5284,0.4919,0.7143,0.2058,infinite_renyi_0.9,infinite_renyi,0.9,cm_20,3690077.0,201641432,0.997147022341,1086.82304096
146,0.4448,0.4379,0.4258,0.5568,0.5284,0.4919,0.7143,0.2058,infinite_renyi_0.9,infinite_renyi,0.9,cm_50,9512590.0,201641432,0.995360655621,1086.82304096
147,0.4448,0.4379,0.4258,0.5568,0.5284,0.4919,0.7143,0.2058,infinite_renyi_0.9,infinite_renyi,0.9,cm_100,19208614.0,201641432,0.993897302955,1086.82304096
148,0.4448,0.4379,0.4258,0.5568,0.5284,0.4919,0.7143,0.2058,infinite_renyi_0.9,infinite_renyi,0.9,gm_0.5,3413922.55892,201641432,0.994486333991,1086.82304096
149,0.4448,0.4379,0.4258,0.5568,0.5284,0.4919,0.7143,0.2058,infinite_renyi_0.9,infinite_renyi,0.9,gm_1.0,813029.68953,201641432,0.995735399457,1086.82304096
